card_name,card_number
Dawn,129/094
Flareon,26/90
Thundurus - BW41,BW41
Lightning Energy (2011 Play! Pokemon),
Mewtwo EX,061/162
Acerola's Mischief,165/132
Escape Board (Secret Rare),167/156
Raichu,010/123
Clemont's Quick Wit,229/191
Dialga (5),5/127
Metagross (Team Plasma),52/116
Machamp BREAK,60/108
Smeargle (Delta Species),39/101
Guzma,SV84/SV94
Veluza,192/182
Alolan Vulpix,SV8/SV94
Delinquent,098a/122
Ponyta,64/82
Code Card - Hidden Fates Ultra-Premium Collection,
Galarian Darmanitan,044/189
Pangoro - XY50,XY50
Nidoqueen (Omega),69/160
Alakazam (1),001/165
Team Aqua's Spheal,3/34
Uxie - 2009 (Tsubasa Nakamura),43/146
Guzzlord GX,63/111
Seaking,37/64
Meowscarada ex,256/193
Hisuian Typhlosion VSTAR,054/189
Groudon EX (150 Full Art),150/160
Oddish (Delta Species),73/110
Guzma,115a/147
Panpour (Master Ball Pattern),017/086
Charizard & Braixen GX (Secret),251/236
Koga (19),019/132
Grubbin,002/012
Zoroark GX,53/73
Snorlax,202/091
Wallace (Full Art),194/195
Shauna (Secret),278/264
Chatot - 2008 (Paul Atanassov),55/100
Squirtle,148/142
Code Card - Zeraora V Battle Deck,
Scramble Energy - 2008 (Jason Klaczynski),89/101
Giovanni's Pinsir,024/132
Pikachu (Korean),PW 3
Darkness Energy,97/108
Eevee,56/95
Galarian Moltres - SWSH125 (Prerelease),SWSH125
Raikou EX,38/108
Charmeleon,19/149
Heatran - SM96 (Prerelease) [Staff],SM96
Metal Energy (2023),008
Fire Energy - 2006 (Jimmy Ballard),
Groudon,5/106
Meowstic,043/106
Basic Grass Energy (Cracked Ice Holo),009
Mismagius,19/90
Lt. Surge's Raticate,051/132
Psyduck,028/149
Sabrina's Drowzee,095/132
Sabrina's Hypno,056/132
Bill's Maintenance (Full Art),162/168
Black Kyurem - XY80,XY80
Eevee,074/110
Togepi,110/149
Zapdos EX (Team Plasma),48/135
Rufflet,154/086
Doublade - 067,067
Walking Wake ex,215/162
Choice Band,121a/145
Quaxly,050/191
Machop,073/105
Pyroar BREAK,24/114
Pinsir,168/167
Galarian Darmanitan,SV024/SV122
Arbok (Delta Species),13/101
Pikachu,40/147
Celio's Network - 2007 (Akira Miyazaki),73/100
Saguaro,270/193
Braixen,012/124
Steelix,125/182
Lycanroc GX (Full Art),138/145
Luxio,52/130
Mienfoo,133/086
Tremendous Bomb,113/084
Togekiss,104/135
Chikorita,55/101
Zoroark,91/162
Chansey,152/214
Garchomp,70/122
Victini,005/015
Camerupt,4/107
Pikachu Libre (14 - Non-Holo),14/30
Numel,57/106
Dugtrio,023/130
Faba (Full Art),208/214
Shining Gyarados,65/64
Gengar,35/83
Hop (Full Art),73/73
Swellow,41/106
Giovanni's Magikarp,073/132
Unown [G],027/105
Turtwig (6),6/156
Sabrina (110),110/132
Psyduck,74/102
Aggron,1/123
Lycanroc VMAX,092/203
Magcargo,6/90
Salamence,18/132
Espeon (Best Buy Exclusive),086/197
Zygarde GX - SM122,SM122
Pikachu (English),PW 1
Basic Psychic Energy (Cracked Ice Holo),013
Oshawott,105/086
Ash's Pikachu-GX (Ash vs Team Rocket Deck Kit),005/026
Umbreon (13),13/75
Lillie's Determination,184/132
Thorton (Secret),210/196
Houndoom,34/97
Zorua,89/113
Grimmsnarl VMAX,SV117/SV122
Mudkip - 018 (EX Deck Tin),018
Gengar - SWSH241 (Prerelease),SWSH241
Garbodor,57/122
Meowth,147/214
Mega Manectric ex,050/132
Charizard ex,105/112
Quagsire,030/147
Greninja,14/39
Psyduck,226/217
Servine,001/012
Zacian - SWSH033,SWSH033
Farigiraf ex,108/162
Zoroark,143/086
Dark Magneton (11),11/82
Skiddo - XY11,XY11
Fire Energy,89/95
V Guard Energy (Secret),215/195
Muk (H17),H17/H32
Garchomp,114/236
Houndour (39),39/75
Zeraora GX - 2019 (Haruki Miyamoto),86/214
Raichu,27/83
Gliscor (5),5/146
Mallow (Full Art),145/145
Rocket's Admin. - 2006 (Jimmy Ballard),86/109
Lost Blender (Secret),233/214
Zapdos (Cosmos Holo),048/185
Hawlucha - 2025 (Jose Cruz Galindo-Resendiz),
Arctovish,SV037/SV122
Glaceon GX,39/156
Rocket's Poke Ball,89/109
Porygon-Z,6/106
Wooper,79/115
Meowscarada ex - 033,033
Centiskorch - SWSH048,SWSH048
Venusaur,015/102
Cyrus's Conspiracy - 2009 (Tsubasa Nakamura),105/127
Klang,011/012
Pokemon Communication (Secret),196/181
Hydreigon,074/119
Grovyle,32/100
Mew - XY192,XY192
Town Map - 2013 (Ian Whiton),136/149
Archeops,110/108
Glaceon GX,SV55/SV94
Lunatone,20/92
Mabosstiff ex - Jumbo Card,086
Psychic Energy (2010 Play! Pokemon),
Octillery (Secret),178/163
Unown [C],057/105
Watchog,153/086
Minun,25/100
Pikachu,019/068
Mankey,092/147
Bloodmoon Ursaluna ex - 177,141/167
Raichu & Alolan Raichu GX (Full Art),220/236
Duraludon - SWSH028 (Gamestop Exclusive),SWSH028
Dark Vaporeon,45/82
Surfing Beach,114/086
Budew,33/100
Vulpix (Shiny),SH6
Garchomp C LV.X - 2010 (Yuta Komatsuda),145/147
Metal Energy,130/130
Brock's Dugtrio,022/132
Pawmot,034/094
Shining Magikarp,66/64
Victory Cup - BW30 (Battle Road Spring 2012) [2nd Place],BW30
Reshiram & Zekrom GX (Secret),259/236
Charmeleon,46/132
Articuno (17 Delta),17/108
Ancient Ruins,119/144
Blaine's Quiz #1,097/132
Choice Belt (Secret),211/189
Giratina (28),28/127
Morpeko ex,102/084
Sigilyph,052/124
Starmie (44),044/144
Galarian Articuno V,TG16/TG30
Fighting Energy (2023),006
Flaaffy - 015,015
Omastar,023/144
Lickilicky,12/132
Regigigas,86/119
Bulbasaur,54/112
Nest Ball,255/198
R Energy,95/109
Dusk Mane Necrozma - SM124,SM124
Fire Energy (2011 Pokemon League),
Chaos Tower,094/124
Armaldo,1/100
Mega Chandelure ex,099/084
Houndoom,46/214
Beautifly,21/127
Lugia,29/115
Altaria GX (Secret),72/70
Pokegear 3.0,182a/214
Raichu (27),027/144
Team Galactic's Invention G-103 Power Spray,117/127
Appletun V,026/264
Unown [H],028/105
Exeggutor,18/123
Glalie EX (Full Art),155/162
Piers (Full Art),069/072
Elekid (Delta Species),48/101
Growlithe (51),051/147
Zekrom (Paradox Rift Stamped),066/182
Cranidos - DP07,DP07
Venusaur ex,001/142
Grookey on the Ball,003/005
Eri,199/162
Mismagius,7/100
Deino (Master Ball Pattern),065/086
Lillie (Full Art),147/149
Water Energy (Prize Pack Series 3) (Cosmos Holo),
Dark Raticate,51/82
Single Strike Urshifu,108/198
Chikorita (53),53/111
Electabuzz - 1 (Best of Game 1 Promo),001
Skarmory FB,083/147
Victini EX,18/135
Machamp EX (90 Full Art),90/98
Deoxys,2/95
Ralts,74
Darkrai GX (Secret),158/147
Pikachu - 088,088
Latios,2/10
Rescue Stretcher (Secret),165/147
Deoxys VSTAR - SWSH268,SWSH268
Charmeleon,31/112
Oricorio,113/091
Hisuian Typhlosion,052/189
Pansage (Master Ball Pattern),004/086
Munna,88/236
Empoleon V (Full Art),145/163
Electrode,008/147
Blissey,081/119
Desert Ruins - 2006 (Miska Saari),88/101
Giovanni's Scheme (Full Art),162/162
Chespin,087/086
Chandelure,60/101
Charizard,003/110
Code Card - Mythical Pokemon Collection Box [Genesect],
Applin,185/167
Alolan Sandslash (30),SM127
Dragonite V (Alternate Full Art),192/203
Kabutops,7/92
Reshiram EX,29/113
Blaziken FB,2
Necrozma GX (Full Art),134/147
Lt. Surge's Pikachu,084/132
Mewtwo V,030/078
Dusknoir - 2013 (Ian Whiton),63/149
Pansage - BW14,BW14
Smeargle,21/95
Xatu (Delta Species),25/101
Steelix (Team Plasma),79/116
Pidgeot ex,221/091
Kingdra EX (Full Art),122/124
Jynx,045/130
Galvantula ex,051/142
Dragonite,131/195
Air Balloon (Poke Ball Pattern),079/086
Slowpoke,23/108
Articuno (16),16/108
White Kyurem EX - BW63,BW63
Pikachu,035/108
Genesect EX - 2014 (Andrew Estrada),11/101
Clefairy,050/083
Pignite (Master Ball Pattern),012/086
Croconaw (#17),17/30
Gloom (96),96/146
Veluza,125/091
M Venusaur EX,2/108
Turtonator GX (Full Art),131/145
Plusle,005/017
Exeggutor (Master Ball Pattern),002/131
Psychic Energy (2023),005
Power Plant,139/147
Gourgeist ex,102/086
Cryogonal (Master Ball Pattern),027/086
Regigigas (Full Art Promo),XY82
Granbull V (Full Art),159/172
Minun,6/12
Skitty - 2004 (Chris Fulop),44/109
Pokemon Reversal,87/109
Wugtrio,224/091
Alolan Vulpix,021a/145
Elekid,48/130
Hydreigon,103/99
Manaphy,GG06/GG70
Arctozolt,066/189
Fighting Energy - 2005 (Curran Hill),
Clefairy,013/034
Mimikyu GX,149/214
Shinx,098/130
Dusk Mane Necrozma GX (Full Art),145/156
Gengar EX (114 Full Art),114/119
Absol (Team Plasma),67/116
Koraidon ex,125/198
Latios,194/264
Graveler,29/97
Giratina,097/214
Rosa's Encouragement,114/088
Cinderace ex - 163,163
Roaring Moon ex,262/182
Charizard EX - XY121 (XY Black Star Promos),XY121
Rocket's Mission,88/109
Luxio,62/146
Cherrim,2
Yanmega (Prime),98/102
Arceus VSTAR - SWSH307,SWSH307
Magnemite,SV27/SV94
N's Zorua - 189,189
Pikachu (Pokemon Day 2009),015/017
Nessa,TG27/TG30
Omanyte,70/100
Gyarados,33/147
Allister (Full Art),179/185
Alakazam - 003,003
Luxray - SWSH023 (Prerelease) [Staff],SWSH023
Mega Greninja ex - 081,022/086
Kyurem - BW44,BW44
Darmanitan (Master Ball Pattern),014/086
Molayne (Full Art),212/214
Piplup (72),72/100
Peeking Red Card (Secret Rare),169/156
Blacephalon - SM221 (Prerelease),SM221
Boss's Orders [Corbeau],256/217
Wailord EX - 2015 (Jacob Van Wagner),38/160
Delta Rainbow Energy,009/017
Butterfree V,001/189
Corsola,37/75
Oinkologne,208/091
Rowlet & Alolan Exeggutor GX,1/236
Gallade V,TG19/TG30
Turtonator,146/142
Empoleon,2/100
Pachirisu - 158,158
Tauros,096/086
Fuecoco - 002,002
Flaaffy,42/123
Arcanine ex,83/92
Machamp LV.X,98/100
Pichu (Delta Species),76/110
Infernape E4,43/111
Tyrantrum,62/111
Totodile (#1),1/30
Scyther (106),106/147
Arcanine,6/18
Blaziken,006/070
Infernape,3/100
Gourgeist,57/146
Indeedee - 154 (Staff),154
Latios (Delta Species),9/113
Professor's Research [Professor Sada],189/198
Electivire,003/130
Sandslash,41/62
Tyranitar,026/095
Combusken,35/106
Marshadow - 2018 (Pedro Eugenio Torres),45/73
N - 2013 (Yugo Sato),96/108
Exeggcute,4/116
Entei (Shiny),SL3
Oricorio GX,95/236
Magcargo,41/115
Cursed Stone,72/92
Sandslash,29/123
Bounce Energy,142/144
Desert Ruins - 2005 (Jeremy Maron),88/101
Lanette's Net Search,77/106
Arven,249/198
Milotic,8/106
Flareon (Master Ball Pattern),013/131
Pidgey - 2006 (Jimmy Ballard),73/112
Gardevoir ex,245/198
Dark Wigglytuff,040/105
N (Supporter),92/101
Vespiquen ex,212/197
Tepig,BW02
Ultra Ball - 2024 (Sakuya O.),196/198
Vivillon (Meadow [Pink]),17/146
Switch - 2012 (Chase Moloney),104/114
Celebi,4/236
Copycat - 2011 (Ross Cawthon),77/95
Golisopod GX,SV48/SV94
Persian,27/123
Palkia EX,31/122
Lapras,005/012
Liepard (Team Plasma),84/135
Fraxure (15),15/20
Tynamo,030/086
Marill,88/130
Misty's Goldeen (30),030/132
Keldeo EX,45/113
Absol,097/189
Yungoos,012/012
Tatsugiri - 118,118
Crystal Beach - 2007 (Jeremy Scharff-Kim),75/100
Basculin (Master Ball Pattern),024/086
Exeggcute - 2015 (Jacob Van Wagner),4/116
Brock's Protection,101/132
Marowak,052/130
Houndoom ex - 103,103
Call Energy - 2008 (Jason Klaczynski),92/100
Scramble Energy - 2008 (Dylan Lefavour),89/101
Whimsicott GX,140/214
Scolipede (Master Ball Pattern),056/086
Wooper - 155,155
Xatu,55
Scramble Energy,95/107
Nidoqueen (Delta Species),7/101
Deoxys EX (Team Plasma) - BW82,BW82
Regirock ex,99/106
Clavell,249/193
Emolga (Master Ball Pattern),029/086
Vaporeon (12),12/64
Orbeetle V (Full Art),166/185
Plusle,39/108
Blissey,5/123
Numel (69),69
Mist Energy,161/162
Cubchoo (Master Ball Pattern),025/086
Dhelmise - 084 [Staff],084
Galarian Darmanitan VMAX,037/185
Kadabra,084/165
Butterfree VMAX (Secret),190/189
Lusamine,153a/156
Vivillon,193/191
Psychic Energy,127/130
Mareep,62/115
Bellibolt ex,237/193
Gastly,050/102
Holon Energy WP,86/101
Burned Tower,71/90
Heatran V (Full Art),165/189
Arbok (35),035/165
Alolan Dugtrio,087/149
Hoopa GX,96/181
Charcadet - 022,022
Incineroar V,08/73
Houndour (24),24/75
Charmander,SV6/SV94
Machop,064/101
Code Card - League Battle Decks [Reshiram & Charizard GX],
Vaporeon V - SWSH150,SWSH150
Mew - 2023 (Tord Reklev),011/025
Garbodor,204/182
Serperior,13/149
Professor Oak's New Theory,101/123
Altaria,GG19/GG70
Larvitar,52/106
Alolan Marowak GX - SM187,SM187
Sobble - 054,054
Sandile,063/114
Gengar (13),013/165
Wartortle,042/102
Sabrina's Abra (93),093/132
Skuntank V (Full Art),180/195
Pokemon Fan Club (106 Full Art),106/106
Ralts - 2004 (Kevin Nguyen),74/100
Chansey,031/105
Dark Tyranitar,19/109
Dusclops,019/064
Deoxys (Delta Species - Normal Forme),5/110
Slugma - 2005 (Michael Gonzalez),74/107
Zacian LV. X - SWSH135,SWSH135
VS Seeker - 2017 (Zachary Bokhari),109/119
Xerneas EX,97/146
Switch - 2004 (Reed Weichler),92/109
Pikachu & Zekrom GX,SM168
Gyarados GX - SM212 (SM Black Star Promo),SM212
Paradise Resort - 150 (World Championships 2024),150
Wartortle,002/034
Stakataka - SM180 (Prerelease) [Staff],SM180
Battle Compressor,92/119
Iono's Kilowattrel - 182 (Prerelease),182
Unown (Y),Y/28
Unown [I],37/123
Arceus & Dialga & Palkia GX (Full Art),220/236
Riolu,173/091
Tinkaton ex - 031,031
Milotic (Shiny),SH7
Dodrio,014/034
Grass Energy,105/110
Horsea,003/012
Origin Forme Palkia VSTAR,040/189
Noivern V - SWSH148,SWSH148
Wigglytuff (90),90/146
Deoxys (Normal Forme),16/107
Klinklang,141/086
Gengar,27/130
Arcanine,033/130
Deoxys Defense Forme,25/146
Eevee - 2006 (Jimmy Ballard),69/113
Pikachu - SM206,SM206
Psyduck,70/109
Trapinch (Delta Species) - 2007 (Jun Hasebe),84/110
Larvitar,116/165
Korrina,95/111
Erika's Oddish,070/132
Machop,59/82
Roaring Moon ex,229/182
Ditto,17/18
Squawkabilly ex - 2025 (Yuya Okita),
Phione,36/113
Water Energy (2006-2007 League Promo),
Electrode (18),18/64
Larvitar (Delta Species),73/113
Magikarp & Wailord GX (Alternate Full Art),161/181
Black Kyurem,61/236
Electropower (Secret),232/214
Venusaur EX - XY28,XY28
Sableye,63/132
Pichu,45/100
Shroomish,127
Blissey,36/123
Hydreigon,110/189
Flutter Mane - 097,097
Archeops - SWSH272 (Prerelease),SWSH272
Dragapult V - SWSH096,SWSH096
Lance (Secret),206/195
Lycanroc V (Full Art),187/203
Eevee - 173 (Pokemon Center Exclusive),173
Marshtomp,40/109
Medicham ex,95/106
Team Aqua's Crawdaunt,2/95
Oleana (Secret),202/192
Metang - 023 (Stadium Challenge 2004),023
Shuppet,43/97
Bastiodon,14
Hisuian Lilligant V (Full Art),162/189
Dusknoir - 2008 (Jason Klaczynski),2/130
Squirtle,063/100
Tornadus - 210 (Pokemon Center Exclusive),210
Mewtwo LV.X,144/146
Trapinch,82/100
Luxray - SWSH023 (Prerelease),SWSH023
Xurkitree,39/131
Raichu,10/123
Nest Ball,181/198
Palkia EX (Team Plasma) (100 Full Art),100/101
Zapdos - SM159 (Prerelease) [Staff],SM159
Zarude - 088,088
Uxie - 2010 (Yuka Furusawa),43/146
Giratina Prism Star,58/156
Pawniard (Master Ball Pattern),064/086
Dive Ball - 2016 (Cody Walinski),125/160
Lucario,117/236
Thundurus (97 Full Art),97/98
Erika's Bellsprout (76),076/132
Salvatore,212/162
Skeledirge,031/191
Erika's Maids,109/132
Unown (X),X/28
Virizion,13/101
Serena (Full Art),193/195
Dark Marowak,007/109
Arcanine,18/112
Cramorant V - SWSH086,SWSH086
Rotom VSTAR,046/159
Rhyperior V (Full Art),181/189
Hawlucha - 007 (Prerelease),007
Mawile VSTAR,071/195
Professor Elm's Training Method - 2004 (Chris Fulop),148/165
Tangela,178/165
Brock's Mankey (68),068/132
Silvally GX (Secret),262/236
Delibird,032/198
Thwackey,015/167
Giratina,062/135
Charizard & Braixen GX,22/236
Ledyba (73),073/144
Venusaur ex,112/112
Hitmonlee - HGSS25,HGSS25
______'s Chansey (DUPLICATE),113
Lillie's Determination,169/132
Octillery,10/115
Toxtricity V,SV112/SV122
Rare Candy,142/168
Altaria C,49
Groudon,084/160
Giovanni (104),104/132
Hypnotoxic Laser - 2013 (Jason Klaczynski),123/135
Sylveon EX (Full Art),RC32/RC32
Meganium (54),054/165
Mime Jr.,157/091
Samurott (31),31/114
Karen - XY177a,XY177a
Squirtle,82/112
Garbodor (Master Ball Pattern),060/086
Chansey,187/167
Mega Charizard X ex,125/094
Copycat,83/109
Suicune (Cosmos Holo) (Gamestop Exclusive),026/094
Dark Pupitar - 2005 (Takashi Yoneda),41/109
Single Strike Style Mustard,TG28/TG30
Naganadel GX (Secret),134/131
Lillie - 2019 (Shintaro Ito),125/156
Vanilluxe,29/101
Guzzlord,SV26/SV94
Vaporeon,25/108
Sceptile,010/100
Ultra Ball - 2012 (Igor Costa),102/108
Meganium (Delta Species),4/101
Piplup,85/127
Reverse World's Giratina (Japanese 11th Movie Commemoration Set),005/009
Code Card - Mega Tyranitar EX Premium Collection,
Lucario & Melmetal GX (Secret),224/214
Decidueye ex,100/088
Thundurus - 209,209
Beedrill,017/102
Fighting Energy,106/111
Charizard,019/113
Umbreon (Team Plasma),64/116
Blastoise EX,29/146
Candice (Secret),204/195
Paldean Wooper,221/193
Beedrill,021/130
Bebe's Search,109/123
Jacinthe,122/088
Iron Valiant ex - 068,068
Tapu Bulu - SM61,SM61
Koga's Kakuna,047/132
Slowking,28/113
Dedenne GX,57/214
Fezandipiti,073/064
Stunfisk,RC12/RC25
Aron,42/108
Lanturn,18/95
Jynx,031/102
Code Card - Flygon EX Box,
Brock (98),098/132
Emboar - BW21,BW21
Jangmo-o - SM40 (General Mills Promo),SM40
Flygon GX (Full Art),218/236
Eevee on the Ball,002/005
Max Revive,117/132
Cloyster (42),042/165
Treecko,001/012
Flareon,012/108
Latios,203/191
Xerneas EX - XY149 (Shiny),XY149
Magneton,009/130
Reshiram & Charizard GX - 2019 (Kaya Lichtleitner),20/214
Fighting Gong,168/132
Swinub,079/111
Double Colorless Energy - 2017 (Naoto Suzuki),136/149
Stoutland,156/086
Guzzlord GX,063a/111
Professor's Letter - 2014 (Andrew Estrada),123/146
AZ (117 Full Art),117/119
Hop's Snorlax,117/159
Counter Catcher (Secret),120/111
Strong Energy - 2018 (Naohito Inoue),115/124
Doduo,013/034
Choice Helmet (Secret),229/214
Arceus V,122/172
Ninetales,007/123
Celebi,3/102
Chi-Yu ex,234/193
Eevee (JR East Stamp Rally),11/53
Champions Festival - SWSH296 (World Championships 2022),SWSH296
Swinub,79/109
Scorbunny - SWSH244 (Cosmos Holo),SWSH244
Pikachu V-UNION,
Ditto,108/149
Bulbasaur,001/073
Mega Abomasnow ex,157/132
Murkrow,008/017
Metapod,087/165
Uxie - 2009 (Jason Martinez),43/146
Celebi & Venusaur GX (Full Art),159/181
Sunflora - SWSH269 (Prerelease),SWSH269
Klinklang,77/108
Wailord,14/109
Mallow & Lana (Full Art),231/236
Eelektross (Master Ball Pattern),032/086
Bidoof,011/017
Axew,012/012
Hop's Wooloo,170/159
Latios EX (101 Full Art),101/108
Articuno (4),004/144
Kyurem ex,157/086
Litwick,101/086
Swirlix,24/39
Scoop Up Cyclone,95/101
Swablu,103/113
Recycle Energy (Secret),257/236
Missing Clover (Secret Rare),168/156
Darkrai GX,SV70/SV94
Hoppip,083/147
Cradily (Delta Species),2/110
Marill,010/012
Glaceon VMAX (Secret),208/203
Light Golduck,047/105
Mewtwo EX (163 Secret Full Art),163/162
Erika's Exeggcute (77),077/132
Chatot,181/162
Pyroar,012/119
Kirlia,35/109
Shinx,118/146
Whiscash,28/107
Metal Energy (Special),88/106
Dragapult V,092/192
Parasect,48/123
Venomoth (13),13/64
Great Ball,92/112
Marshadow & Machamp GX (199) (Full Art),199/214
Rocket's Snorlax,033/132
Volcarona GX (Secret),252/236
Snorlax,140/202
Dusknoir,63/149
Delibird,39/123
Rare Candy - 2011 (Christopher Kan),82/95
Azelf (4) - 2010 (Mychael Bryan),4/123
Ampharos,001/111
Slowpoke,54/214
Feebas,61/101
Poliwrath,11/115
M Latios EX,59/108
Hoothoot,060/111
Skiploom,51/123
Clefable (41),041/165
Fire Energy (Secret),167/147
Manectric EX (113 Full Art),113/119
Parasect,027/147
Greninja GX,SV56/SV94
Dolliv,200/198
Machoke,038/144
Single Strike Urshifu VMAX (Secret),TG29/TG30
Nidorino,056/110
Code Card - Shining Legends Figure Collection: Shiny Darkrai GX,
Probopass,182/167
Code Card - Journey Together Pokemon Center Elite Trainer Box,
Lapras,048/202
Golem ex,91/97
Unown (K),K/28
Mewtwo V-UNION - SWSH160,SWSH160
Muscle Band - 2014 (Michikazu Tsuda),121/146
Gyarados (#20 Non-Holo),20/30
Tepig - BW07,BW07
Aggron EX (153 Full Art),153/160
Rescue Energy,90/102
Boss's Orders - Darkrai Deck,172/193
Karen's Conviction (Secret),216/198
Wicke (Full Art),147/147
Pikachu (Japanese 11th Movie Commemoration Set),003/009
Alolan Exeggutor V - SWSH225,SWSH225
Rhyhorn - 2005 (Michael Gonzalez),70/101
Alolan Raichu - SM72 (Prerelease) [Staff],SM72
Shiftry,22/100
Sylveon,72/111
Pikachu - XY202 (Pokemon League),XY202
Zarude - 088 (Pokemon Center Exclusive),088
Dark Alakazam (18),18/82
Zoroark,091/162
Litten,SM02
Primarina GX (Secret),149/145
Mega Absol ex,180/132
Steelix,035/147
Cobalion,144/086
Lucario,006/130
Code Card - Mega Beedrill EX Premium Collection,
Scizor,191/091
Healing Berry,125/147
Torracat,025/149
Latios GX,78/236
Boltund V,067/192
Galarian Articuno - SWSH282,SWSH282
Torterra (Team Plasma),3/135
Shaymin EX,77/108
Charizard EX (100 Full Art),100/106
Milotic V,043/192
Hitmonlee,25/115
Pikachu,GG30/GG70
Rayquaza V 100/159,100/159
Electrike,30/109
Blaine's Tauros,064/132
Swinub (108),108/144
Charmeleon,012/094
Ruins Of Alph - 2012 (Shuto Itagaki),76/90
Camerupt,004/107
Piplup,098/094
Whiscash (Alpha),41/160
Torchic,74/109
Gyarados,004/123
Zamazenta V - SWSH077,SWSH077
Nessa (Full Art),183/185
Uxie LV.X - 2009 (Tsubasa Nakamura),146/146
Pikachu at the Museum,
Colress (Team Plasma) (135 Full Art),135/135
Goldeen,53/64
Moltres,019/181
Scrafty,074/099
Metang,35/108
Dragalge - XY10 (Prerelease),XY10
Misty's Gyarados,013/132
Galarian Perrserker - SWSH008 (Prerelease),SWSH008
Team Rocket's Raticate,202/182
Flygon ex,87/92
Volcanion EX,XY173
Prinplup - 2007 (Akira Miyazaki),58/130
Psyduck,53/62
Dark Dugtrio (23),23/82
Hisuian Goodra V (Full Art),187/196
Nidoking,045/108
Staryu,065/102
Latias ex,076/191
Electrode,33/116
Charity,099/132
Daisy's Help,195/165
Klinklang,076/114
Lucario - SM95 (Prerelease) [Staff],SM95
Tapu Koko GX,SV93/SV94
Ariados,15/123
Magnezone EX,35/106
Graveler,044/110
Rocket's Wobbuffet,47/109
Poipole (55) - 2019 (Shintaro Ito),55/131
Jolteon - SWSH094,SWSH094
Altaria - BW48 (Prerelease) [Staff],BW48
Treecko Star,109/109
Shiftry,13/111
Luxray,003/017
Metal Energy (#9),9/30
Magneton,48/113
Quagsire,SV10/SV94
Mew (Delta Species),003/017
Arctovish V (Full Art),176/203
Tropical Wind - DP05 (Worlds 07),DP05
Dedenne GX - 2019 (Haruki Miyamoto),57/214
Raging Bolt ex,166/131
Mewtwo LV.X - 2009 (David Cohen),144/146
Blanche - SWSH227,SWSH227
Infernape,173/167
Charizard (Celebrations Metal Card),004/102
Victreebel,3/168
Nihilego,106/214
Code Card - Mimikyu Pin Collection,
Probopass,004/017
Water Energy (2010 Unnumbered HGSS Style Non-Holo),
Professor Elm's Training Method - 2011 (Christopher Kan),100/123
Misty's Staryu,092/132
