card_name,card_number,card_name_cleaned
Incineroar,026/149,Incineroar
Pikachu,020/108,Pikachu
Dark Feraligatr,005/105,Dark Feraligatr
Ash's Friendship (Ash vs Team Rocket Deck Kit),025/026,Ash's Friendship (Ash vs Team Rocket Deck Kit)
Tropical Wind - 026 (2004 World Championships) [Participation],026,Tropical Wind (2004 World Championships) [Participation]
Eevee,RC14/RC25,Eevee
Umbreon GX,SV69/SV94,Umbreon GX
Golem,45/83,Golem
Probopass,096/088,Probopass
Ambipom,3/123,Ambipom
Heatran GX (Secret),238/236,Heatran GX (Secret)
Deoxys (Delta Species - Defense Forme),4/110,Deoxys (Delta Species - Defense Forme)
Registeel Star,92/92,Registeel Star
Float Stone,99/116,Float Stone
Ninjask,18/97,Ninjask
Star Piece,139/144,Star Piece
Super Scoop Up - 2010 (Mychael Bryan),83/95,Super Scoop Up - 2010 (Mychael Bryan)
Machoke,051/110,Machoke
Tapu Lele - SM45,SM45,Tapu Lele
Forest of Vitality,109/088,Forest of Vitality
Evosoda - 2014 (Trent Orndorff),116/146,Evosoda - 2014 (Trent Orndorff)
Mr. Mime,29/95,Mr. Mime
Team Aqua's Great Ball,27/34,Team Aqua's Great Ball
Sceptile,004/017,Sceptile
M Beedrill EX,XY158,M Beedrill EX
Latias - SM87,SM87,Latias
Tangela,30/112,Tangela
Venusaur & Snivy GX - SM229,SM229,Venusaur & Snivy GX
Throh (Master Ball Pattern),050/086,Throh (Master Ball Pattern)
Darumaka,097/086,Darumaka
Mightyena (Delta Species),24/113,Mightyena (Delta Species)
Ninetales ex,186/165,Ninetales ex
Pikachu (#2),2/30,Pikachu (#2)
Arcanine,036/110,Arcanine
Code Card - Celebrations Ultra-Premium Collection,,Code Card - Celebrations Ultra-Premium Collection
Misty's Seel,091/132,Misty's Seel
Marshadow - SM93,SM93,Marshadow
Flygon - BW53 (Prerelease),BW53,Flygon (Prerelease)
Team Rocket's Crobat ex,242/182,Team Rocket's Crobat ex
Nidoran F (82),082/144,Nidoran F
Friend Ball,126/144,Friend Ball
Bayleef,002/122,Bayleef
Espeon,089/214,Espeon
Garchomp,62/131,Garchomp
Ninetales ex,038/165,Ninetales ex
Minun,48/113,Minun
Misty's Favor,202/236,Misty's Favor
Blaziken GX (Full Art),153/168,Blaziken GX (Full Art)
Mantyke,189/182,Mantyke
Raichu (#19 Non-Holo),19/30,Raichu (#19 Non-Holo)
Poliwrath (9),09/75,Poliwrath
Emolga (Full Art),RC23/RC25,Emolga (Full Art)
Lileep,145/142,Lileep
Poncho-wearing Pikachu,38/SM-P,Poncho-wearing Pikachu
Baltoy - 2009 (Stephen Silvestro),60/106,Baltoy - 2009 (Stephen Silvestro)
Xerneas GX (Secret),139/131,Xerneas GX (Secret)
Ralts,139/214,Ralts
Magikarp,035/102,Magikarp
Alolan Ninetales,145/236,Alolan Ninetales
Mega Gardevoir ex,060/132,Mega Gardevoir ex
Gimmighoul,198/182,Gimmighoul
Trapinch - 2009 (David Cohen),115/132,Trapinch - 2009 (David Cohen)
Ho-Oh GX,21/147,Ho-Oh GX
Blend Energy WLFM - 2014 (Haruto Kobayashi),118/124,Blend Energy WLFM - 2014 (Haruto Kobayashi)
Togekiss C,86,Togekiss C
Blastoise,013/095,Blastoise
Galarian Perrserker - SWSH008 (Prerelease) [Staff],SWSH008,Galarian Perrserker (Prerelease) [Staff]
Swanna,110/086,Swanna
Sharpedo ex,104/107,Sharpedo ex
Sonia,167/192,Sonia
Blaziken,5/108,Blaziken
Gardevoir EX (155 Full Art),155/160,Gardevoir EX (Full Art)
Code Card - Elite Trainer Box [Groudon],,Code Card - Elite Trainer Box [Groudon]
Vulpix,001/012,Vulpix
Mew - 2019 (Haruki Miyamoto),76/214,Mew - 2019 (Haruki Miyamoto)
Surfer,235/191,Surfer
Plumeria (Full Art),145/147,Plumeria (Full Art)
Eevee (90),90/116,Eevee
Great Ball,77/108,Great Ball
Dialga G - 2009 (Tsubasa Nakamura),7/127,Dialga G - 2009 (Tsubasa Nakamura)
Delcatty - SM132 (Prerelease),SM132,Delcatty (Prerelease)
Hisuian Heavy Ball - 2022 (Sebastian Lashmet),146/189,Hisuian Heavy Ball - 2022 (Sebastian Lashmet)
M Houndoom EX (Full Art),154/162,M Houndoom EX (Full Art)
Meditite,009/012,Meditite
Darkrai EX - 2012 (Igor Costa),63/108,Darkrai EX - 2012 (Igor Costa)
Raikou,055/162,Raikou
Salamence,57/108,Salamence
Banette GX,SV61/SV94,Banette GX
Treecko - XY36,XY36,Treecko
Banette GX - 2018 (Magnus Pedersen),66/168,Banette GX - 2018 (Magnus Pedersen)
Espeon ex,155/131,Espeon ex
Golem,5/97,Golem
Machop - 2010 (Michael Pramawat),86/130,Machop - 2010 (Michael Pramawat)
Mantine - SWSH026,SWSH026,Mantine
Solrock (25) - 2006 (Miska Saari),25/92,Solrock (25) - 2006 (Miska Saari)
Warp Energy,147/147,Warp Energy
Suicune,20/101,Suicune
Arcanine,22/214,Arcanine
Basic Darkness Energy (Cracked Ice Holo),015,Basic Darkness Energy (Cracked Ice Holo)
Hippowdon (Master Ball Pattern),053/131,Hippowdon (Master Ball Pattern)
Mankey,55/64,Mankey
Wartortle,15/101,Wartortle
Origin Forme Dialga V (Alternate Full Art),177/189,Origin Forme Dialga V (Alternate Full Art)
Electrode,011/034,Electrode
Uxie,43/146,Uxie
Mimikyu - SM163,SM163,Mimikyu
Wigglytuff GX,42/68,Wigglytuff GX
Venusaur (67),067/165,Venusaur
Baxcalibur - 019 (Prerelease),019,Baxcalibur (Prerelease)
Mr. Mime (6),06/64,Mr. Mime
Raikou,16/132,Raikou
Flygon Lv.X,105/111,Flygon Lv.X
Morpeko V,079/202,Morpeko V
Canari,185/217,Canari
Unown [G] - 2009 (David Cohen),57/106,Unown [G] - 2009 (David Cohen)
Iron Moth,028/182,Iron Moth
Cresselia,2/106,Cresselia
Crabominable - SM47 (Prerelease) [Staff],SM47,Crabominable (Prerelease) [Staff]
Pikachu,66/236,Pikachu
Ampharos,78/214,Ampharos
Lucky Stadium,100/105,Lucky Stadium
Dialga LV.X - DP17,DP17,Dialga LV.X
Battle Compressor (Team Flare Gear) - 2015 (Jacob Van Wagner),92/119,Battle Compressor (Team Flare Gear) - 2015 (Jacob Van Wagner)
Kangaskhan,6/112,Kangaskhan
Dark Magcargo,38/109,Dark Magcargo
Arceus - XY116,XY116,Arceus
Psychic Energy (2006-2007 League Promo),,Psychic Energy (2006-2007 League Promo)
Piplup,16/30,Piplup
Lapras - SWSH051,SWSH051,Lapras
Marshtomp,38/100,Marshtomp
Multi Energy - 2004 (Chris Fulop),93/100,Multi Energy - 2004 (Chris Fulop)
Sandile,216/198,Sandile
Morpeko V-Union - SWSH288,SWSH288,Morpeko V-Union
Forretress,60/106,Forretress
Reset Stamp (Secret),253/236,Reset Stamp (Secret)
Latios Star,106/107,Latios Star
Fairy Energy (Secret),169/147,Fairy Energy (Secret)
Gyarados EX,XY106,Gyarados EX
Ralts (102) - 2008 (Jason Klaczynski),102/132,Ralts (102) - 2008 (Jason Klaczynski)
Muk (13),13/62,Muk
Hisuian Zoroark VSTAR (213) (Secret),213/196,Hisuian Zoroark VSTAR (213) (Secret)
Night Stretcher,251/191,Night Stretcher
Houndoom,56/101,Houndoom
Parasol Lady,255/182,Parasol Lady
Raikou (13),13/64,Raikou
Grimer,57/97,Grimer
Silent Lab - 2015 (Alejandro Ng-Guzman),140/160,Silent Lab - 2015 (Alejandro Ng-Guzman)
Deoxys (Delta Species),002/017,Deoxys (Delta Species)
Shaymin,038/127,Shaymin
Giratina LV.X - DP38,DP38,Giratina LV.X
Arcanine ex,032/198,Arcanine ex
Pikachu (Delta Species),013/017,Pikachu (Delta Species)
Flying Pikachu VMAX,007/025,Flying Pikachu VMAX
Bellossom (H5),H05/H32,Bellossom (H5)
Primeape,27/106,Primeape
Mewtwo GX,31/68,Mewtwo GX
Roxanne,GG66/GG70,Roxanne
Froslass - 117,117,Froslass
Palkia,37/127,Palkia
Raichu,36/108,Raichu
Flygon,005/111,Flygon
Vulpix,099/130,Vulpix
Pikachu (Spanish),PW 4,Pikachu (Spanish)
Murkrow - 021 (Prerelease) [Staff],021,Murkrow (Prerelease) [Staff]
Iron Boulder ex,207/162,Iron Boulder ex
Iono,269/193,Iono
Kommo-o,54/70,Kommo-o
Charmander,2/12,Charmander
Emboar,098/086,Emboar
Lapras GX (Secret),151/149,Lapras GX (Secret)
Tyrunt - 070,070,Tyrunt
Wobbuffet V (Full Art),191/202,Wobbuffet V (Full Art)
Wigglytuff,66/124,Wigglytuff
Charizard & Braixen GX - SM230,SM230,Charizard & Braixen GX
Froslass,3/146,Froslass
Yveltal GX (Secret),137/131,Yveltal GX (Secret)
Pokedex (HANDY910is) - 2008 (Paul Atanassov),111/130,Pokedex (HANDY910is) - 2008 (Paul Atanassov)
Latias - HGSS10 (Cracked Ice Holo),HGSS10,Latias (Cracked Ice Holo)
Hisuian Zoroark VSTAR (Secret),203/196,Hisuian Zoroark VSTAR (Secret)
Oshawott (Master Ball Pattern),021/086,Oshawott (Master Ball Pattern)
Slowking ex,238/193,Slowking ex
Unown [O],69/75,Unown [O]
M Salamence EX - XY171,XY171,M Salamence EX
Wobbuffet,RC11/RC32,Wobbuffet
Origin Forme Dialga VSTAR,198/189,Origin Forme Dialga VSTAR
Seel,041/102,Seel
Milotic,TG02/TG30,Milotic
Wellspring Mask Ogerpon ex,194/167,Wellspring Mask Ogerpon ex
Pikachu,208/S-P,Pikachu
Miraidon - 092 (Prerelease),092,Miraidon (Prerelease)
Water Energy,107/110,Water Energy
Togekiss,9/90,Togekiss
The Rocket's Training Gym,104/132,The Rocket's Training Gym
Jumbo Ice Cream,109/086,Jumbo Ice Cream
Drakloak (Master Ball Pattern),072/131,Drakloak (Master Ball Pattern)
Samurott,107/086,Samurott
Rattata,061/102,Rattata
Misty's Golduck,012/132,Misty's Golduck
Sprigatito -  061,061,Sprigatito
Sonia (Secret),203/192,Sonia (Secret)
Pineco,099/091,Pineco
Dracozolt VMAX,059/203,Dracozolt VMAX
Tirtouga,25/101,Tirtouga
Maractus,002/012,Maractus
Meloetta EX (Full Art),RC25/RC25,Meloetta EX (Full Art)
Magnemite - 2011 (Gustavo Wada),68/102,Magnemite - 2011 (Gustavo Wada)
Unown (T),T/28,Unown (T)
Conkeldurr,127/086,Conkeldurr
White Kyurem - XY128 (Prerelease) [Staff],XY128,White Kyurem (Prerelease) [Staff]
Brock's Graveler,040/132,Brock's Graveler
Makuhita,75/113,Makuhita
Erika's Paras,071/132,Erika's Paras
Crocalor,202/193,Crocalor
Team Aqua's Sealeo,4/34,Team Aqua's Sealeo
Rapidash E4,47/111,Rapidash E4
Psychic Energy (2010 Unnumbered HGSS Style Non-Holo),,Psychic Energy (2010 Unnumbered HGSS Style Non-Holo)
Origin Forme Dialga V,SWSH255,Origin Forme Dialga V
Pokemon Breeder,076/102,Pokemon Breeder
Poke Healer +,90/100,Poke Healer +
Morpeko V-UNION (SWSH215-218),,Morpeko V-UNION (SWSH215-218)
Togekiss (46 Delta),46/108,Togekiss (Delta)
Sandaconda VMAX (Secret),206/198,Sandaconda VMAX (Secret)
Judge,222/182,Judge
Heatran GX - 2019 (Kaya Lichtleitner),25/236,Heatran GX - 2019 (Kaya Lichtleitner)
Gligar (Delta Species),16/101,Gligar (Delta Species)
Sylveon VMAX (Secret),211/203,Sylveon VMAX (Secret)
Squirtle (Blue Border),,Squirtle (Blue Border)
Metang,21/101,Metang
Fighting Energy (#28),28/30,Fighting Energy (#28)
Archaludon ex,130/191,Archaludon ex
Code Card - Cosmic Eclipse Elite Trainer Box,,Code Card - Cosmic Eclipse Elite Trainer Box
Cursed Stone - 2006 (Miska Saari),72/92,Cursed Stone - 2006 (Miska Saari)
Scizor,94/149,Scizor
Charizard,19/113,Charizard
Toxicroak G - DP41,DP41,Toxicroak G
Horsea,49/62,Horsea
Lucario & Melmetal GX - SM192,SM192,Lucario & Melmetal GX
Claydol - 2010 (Michael Pramawat),15/106,Claydol - 2010 (Michael Pramawat)
Shining Raichu,111/105,Shining Raichu
Hitmonchan ex,98/109,Hitmonchan ex
Mewtwo EX (61),61/162,Mewtwo EX
Steven's Resolve (Full Art),165/168,Steven's Resolve (Full Art)
Psyduck,100/132,Psyduck
Colress - 2015 (Rowan Stavenow),118/135,Colress - 2015 (Rowan Stavenow)
Zekrom (115 Full Art Secret Rare),115/113,Zekrom (Full Art Secret Rare)
Gabite,59,Gabite
Lycanroc GX,74/145,Lycanroc GX
Tropical Beach - BW28 (Worlds 11) [Staff],BW28,Tropical Beach (Worlds 11) [Staff]
Mega Eelektross ex,266/217,Mega Eelektross ex
Palkia LV.X - 2009 (David Cohen),DP18,Palkia LV.X - 2009 (David Cohen)
Dhelmise VMAX,010/072,Dhelmise VMAX
Garchomp LV.X,97/100,Garchomp LV.X
Unfezant,150/086,Unfezant
Lairon,41/100,Lairon
Virizion (Secret),103/101,Virizion (Secret)
Brock (15),015/132,Brock
Carracosta,28/101,Carracosta
Camerupt,4/109,Camerupt
Slowking,14/115,Slowking
Magmar,036/102,Magmar
Electropower,172/214,Electropower
Slowbro,54/106,Slowbro
Misdreavus,11/64,Misdreavus
Rayquaza - SWSH029 (Pixel Cosmos Holo),SWSH029,Rayquaza (Pixel Cosmos Holo)
Hisuian Arcanine,100/167,Hisuian Arcanine
Shuckle,11/123,Shuckle
Hisuian Samurott VSTAR,102/189,Hisuian Samurott VSTAR
Typhlosion (64),064/165,Typhlosion
Conkeldurr,81/135,Conkeldurr
M Gardevoir EX (156 Full Art),156/160,M Gardevoir EX (Full Art)
Forretress ex,212/091,Forretress ex
Conkeldurr (Master Ball Pattern),049/086,Conkeldurr (Master Ball Pattern)
Torchic,66/100,Torchic
Duskull - 2008 (Dylan Lefavour),80/130,Duskull - 2008 (Dylan Lefavour)
Toxicroak,36/123,Toxicroak
Lotad,002/012,Lotad
Mewtwo - 052,052,Mewtwo
Hippowdon,21/100,Hippowdon
Flygon ex (Delta Species),92/101,Flygon ex (Delta Species)
Galarian Zapdos V,TG19/TG30,Galarian Zapdos V
Roserade C,40,Roserade C
Kabutops (6),06/75,Kabutops
Pelipper,50/100,Pelipper
Tool Scrapper - 2013 (Jason Klaczynski),116/124,Tool Scrapper - 2013 (Jason Klaczynski)
Code Card - League Battle Deck [Rapid Strike Urshifu VMAX],,Code Card - League Battle Deck [Rapid Strike Urshifu VMAX]
Beast Ring,102a/131,Beast Ring
Energy Switch,162/202,Energy Switch
Escape Rope (Secret),163/147,Escape Rope (Secret)
Espeon (H9),H09/H32,Espeon (H9)
Entei,014/098,Entei
Quilava (Delta Species),36/101,Quilava (Delta Species)
Staraptor FB,11,Staraptor FB
Zinnia (Full Art),70/70,Zinnia (Full Art)
Nidorino,037/102,Nidorino
Milcery,SV057/SV122,Milcery
Vaporeon,022/131,Vaporeon
Farigiraf,228/193,Farigiraf
Muscle Band - 2015 (Rowan Stavenow),121/146,Muscle Band - 2015 (Rowan Stavenow)
Giacomo,267/193,Giacomo
Tauros,005/017,Tauros
Unown [Q],49/100,Unown [Q]
Blacksmith,088a/106,Blacksmith
Charizard - SWSH066 (Prerelease),SWSH066,Charizard (Prerelease)
Superior Energy Retrieval,189/193,Superior Energy Retrieval
Mega Sharpedo ex,061/094,Mega Sharpedo ex
Tulip,244/182,Tulip
Bronzong BREAK,62/124,Bronzong BREAK
Corsola,37/115,Corsola
Gothitelle (Master Ball Pattern),043/086,Gothitelle (Master Ball Pattern)
Mewtwo VSTAR (79) (Secret),079/078,Mewtwo VSTAR (79) (Secret)
Venusaur,20/132,Venusaur
Ninetales V,026/192,Ninetales V
Cleffa,150/091,Cleffa
Gardevoir,408/SM-P,Gardevoir
Lt. Surge's Bargain,185/132,Lt. Surge's Bargain
Dottler,184/182,Dottler
Eevee (89),89/116,Eevee
Rapid Strike Urshifu V (Alternate Full Art),153/163,Rapid Strike Urshifu V (Alternate Full Art)
Forretress,5/95,Forretress
Kangaskhan EX,78/106,Kangaskhan EX
Solgaleo & Lunala GX (Full Art),216/236,Solgaleo & Lunala GX (Full Art)
Nest Ball - 181/198 - 2024 (Sakuya O.),181/198,Nest Ball - 2024 (Sakuya O.)
Rocky Fighting Energy,087/088,Rocky Fighting Energy
Machamp - 2010 (Michael Pramawat),20/100,Machamp - 2010 (Michael Pramawat)
Dhelmise V (Full Art),187/202,Dhelmise V (Full Art)
Munkidori ex,091/064,Munkidori ex
Darkrai,087/147,Darkrai
Togekiss,235/217,Togekiss
Chikorita (54),054/111,Chikorita
Brawly (Secret),212/198,Brawly (Secret)
Rare Candy - 2009 (Stephen Silvestro),102/106,Rare Candy - 2009 (Stephen Silvestro)
Sewaddle,087/086,Sewaddle
Chimchar - DP02,DP02,Chimchar
Hisuian Samurott V,GG51/GG70,Hisuian Samurott V
Pikachu V-Union - SWSH140,SWSH140,Pikachu V-Union
Conkeldurr (64),64/101,Conkeldurr
Azumarill,77/114,Azumarill
Ditto VMAX,051/072,Ditto VMAX
VS Seeker - 2015 (Rowan Stavenow),109/119,VS Seeker - 2015 (Rowan Stavenow)
Stoutland,122/149,Stoutland
Challenge!,106/110,Challenge!
Regigigas VSTAR,GG55/GG70,Regigigas VSTAR
Milotic,25/106,Milotic
Landorus EX - 2015 (Rowan Stavenow),89/149,Landorus EX - 2015 (Rowan Stavenow)
Mareep,075/214,Mareep
Mesprit,37/101,Mesprit
Slaking V - 2023 (Gabriel Fernandez),058/078,Slaking V - 2023 (Gabriel Fernandez)
Vaporeon (Poke Ball Pattern),022/131,Vaporeon (Poke Ball Pattern)
Light Vaporeon,052/105,Light Vaporeon
Altaria,2/102,Altaria
Regirock ex - 2006 (Jason Klaczynski),98/101,Regirock ex - 2006 (Jason Klaczynski)
Wishiwashi GX,63/236,Wishiwashi GX
Kirlia,212/198,Kirlia
Fennel,162/086,Fennel
Snom,SV033/SV122,Snom
Team Galactic's Invention G-109 SP Radar,096/111,Team Galactic's Invention G-109 SP Radar
Blastoise ex,184/165,Blastoise ex
Absol,40/108,Absol
Jolteon,014/110,Jolteon
Minccino - BW13 (Cosmos Holo),BW13,Minccino (Cosmos Holo)
Card-Flip Game (Goldenrod Game Corner),092/111,Card-Flip Game (Goldenrod Game Corner)
Unown [L],086/105,Unown [L]
Empoleon,17/100,Empoleon
TV Reporter (Full Art),167/168,TV Reporter (Full Art)
Jolteon (Team Plasma),34/116,Jolteon (Team Plasma)
Code Card - Rapid Strike Urshifu V Box,,Code Card - Rapid Strike Urshifu V Box
Absol,21/132,Absol
Bouffalant ex,170/086,Bouffalant ex
Marnie - 2022 (Rikuto Ohashi),,Marnie - 2022 (Rikuto Ohashi)
Tsareena V (Full Art),246/264,Tsareena V (Full Art)
Skitty,44/109,Skitty
Woobat,119/086,Woobat
Charizard VSTAR - SWSH262,SWSH262,Charizard VSTAR
Ninetales - BW66,BW66,Ninetales
Lairon,37/109,Lairon
Seel (95),095/144,Seel
Magcargo ex,95/97,Magcargo ex
Miracle Energy,016/105,Miracle Energy
Naganadel & Guzzlord GX,158/236,Naganadel & Guzzlord GX
Lapras,36/236,Lapras
Hattrem,SV055/SV122,Hattrem
Floatzel,037/106,Floatzel
Espeon GX,61/149,Espeon GX
Basic Metal Energy - MEE 008 (Cosmos Holo),008,Basic Metal Energy - MEE 008 (Cosmos Holo)
Crobat,23/123,Crobat
Field Blower (Secret),163/145,Field Blower (Secret)
Bellsprout,49/64,Bellsprout
Mega Tokyo's Pikachu,98/XY-P,Mega Tokyo's Pikachu
Frogadier,089/086,Frogadier
Flygon V,106/172,Flygon V
Appletun,SV014/SV122,Appletun
Bastiodon,001/017,Bastiodon
Swellow (72 Delta),72/108,Swellow (Delta)
Dawn,129/094,Dawn
Flareon,26/90,Flareon
Thundurus - BW41,BW41,Thundurus
Lightning Energy (2011 Play! Pokemon),,Lightning Energy (2011 Play! Pokemon)
Mewtwo EX,061/162,Mewtwo EX
Acerola's Mischief,165/132,Acerola's Mischief
Escape Board (Secret Rare),167/156,Escape Board (Secret Rare)
Raichu,010/123,Raichu
Clemont's Quick Wit,229/191,Clemont's Quick Wit
Dialga (5),5/127,Dialga
Metagross (Team Plasma),52/116,Metagross (Team Plasma)
Machamp BREAK,60/108,Machamp BREAK
Smeargle (Delta Species),39/101,Smeargle (Delta Species)
Guzma,SV84/SV94,Guzma
Veluza,192/182,Veluza
Alolan Vulpix,SV8/SV94,Alolan Vulpix
Delinquent,098a/122,Delinquent
Ponyta,64/82,Ponyta
Code Card - Hidden Fates Ultra-Premium Collection,,Code Card - Hidden Fates Ultra-Premium Collection
Galarian Darmanitan,044/189,Galarian Darmanitan
Pangoro - XY50,XY50,Pangoro
Nidoqueen (Omega),69/160,Nidoqueen (Omega)
Alakazam (1),001/165,Alakazam
Team Aqua's Spheal,3/34,Team Aqua's Spheal
Uxie - 2009 (Tsubasa Nakamura),43/146,Uxie - 2009 (Tsubasa Nakamura)
Guzzlord GX,63/111,Guzzlord GX
Seaking,37/64,Seaking
Meowscarada ex,256/193,Meowscarada ex
Hisuian Typhlosion VSTAR,054/189,Hisuian Typhlosion VSTAR
Groudon EX (150 Full Art),150/160,Groudon EX (Full Art)
Oddish (Delta Species),73/110,Oddish (Delta Species)
Guzma,115a/147,Guzma
Panpour (Master Ball Pattern),017/086,Panpour (Master Ball Pattern)
Charizard & Braixen GX (Secret),251/236,Charizard & Braixen GX (Secret)
Koga (19),019/132,Koga
Grubbin,002/012,Grubbin
Zoroark GX,53/73,Zoroark GX
Snorlax,202/091,Snorlax
Wallace (Full Art),194/195,Wallace (Full Art)
Shauna (Secret),278/264,Shauna (Secret)
Chatot - 2008 (Paul Atanassov),55/100,Chatot - 2008 (Paul Atanassov)
Squirtle,148/142,Squirtle
Code Card - Zeraora V Battle Deck,,Code Card - Zeraora V Battle Deck
Scramble Energy - 2008 (Jason Klaczynski),89/101,Scramble Energy - 2008 (Jason Klaczynski)
Giovanni's Pinsir,024/132,Giovanni's Pinsir
Pikachu (Korean),PW 3,Pikachu (Korean)
Darkness Energy,97/108,Darkness Energy
Eevee,56/95,Eevee
Galarian Moltres - SWSH125 (Prerelease),SWSH125,Galarian Moltres (Prerelease)
Raikou EX,38/108,Raikou EX
Charmeleon,19/149,Charmeleon
Heatran - SM96 (Prerelease) [Staff],SM96,Heatran (Prerelease) [Staff]
Metal Energy (2023),008,Metal Energy (2023)
Fire Energy - 2006 (Jimmy Ballard),,Fire Energy - 2006 (Jimmy Ballard)
Groudon,5/106,Groudon
Meowstic,043/106,Meowstic
Basic Grass Energy (Cracked Ice Holo),009,Basic Grass Energy (Cracked Ice Holo)
Mismagius,19/90,Mismagius
Lt. Surge's Raticate,051/132,Lt. Surge's Raticate
Psyduck,028/149,Psyduck
Sabrina's Drowzee,095/132,Sabrina's Drowzee
Sabrina's Hypno,056/132,Sabrina's Hypno
Bill's Maintenance (Full Art),162/168,Bill's Maintenance (Full Art)
Black Kyurem - XY80,XY80,Black Kyurem
Eevee,074/110,Eevee
Togepi,110/149,Togepi
Zapdos EX (Team Plasma),48/135,Zapdos EX (Team Plasma)
Rufflet,154/086,Rufflet
Doublade - 067,067,Doublade
Walking Wake ex,215/162,Walking Wake ex
Choice Band,121a/145,Choice Band
Quaxly,050/191,Quaxly
Machop,073/105,Machop
Pyroar BREAK,24/114,Pyroar BREAK
Pinsir,168/167,Pinsir
Galarian Darmanitan,SV024/SV122,Galarian Darmanitan
Arbok (Delta Species),13/101,Arbok (Delta Species)
Pikachu,40/147,Pikachu
Celio's Network - 2007 (Akira Miyazaki),73/100,Celio's Network - 2007 (Akira Miyazaki)
Saguaro,270/193,Saguaro
Braixen,012/124,Braixen
Steelix,125/182,Steelix
Lycanroc GX (Full Art),138/145,Lycanroc GX (Full Art)
Luxio,52/130,Luxio
Mienfoo,133/086,Mienfoo
Tremendous Bomb,113/084,Tremendous Bomb
Togekiss,104/135,Togekiss
Chikorita,55/101,Chikorita
Zoroark,91/162,Zoroark
Chansey,152/214,Chansey
Garchomp,70/122,Garchomp
Victini,005/015,Victini
Camerupt,4/107,Camerupt
Pikachu Libre (14 - Non-Holo),14/30,Pikachu Libre (Non-Holo)
Numel,57/106,Numel
Dugtrio,023/130,Dugtrio
Faba (Full Art),208/214,Faba (Full Art)
Shining Gyarados,65/64,Shining Gyarados
Gengar,35/83,Gengar
Hop (Full Art),73/73,Hop (Full Art)
Swellow,41/106,Swellow
Giovanni's Magikarp,073/132,Giovanni's Magikarp
Unown [G],027/105,Unown [G]
Turtwig (6),6/156,Turtwig
Sabrina (110),110/132,Sabrina
Psyduck,74/102,Psyduck
Aggron,1/123,Aggron
Lycanroc VMAX,092/203,Lycanroc VMAX
Magcargo,6/90,Magcargo
Salamence,18/132,Salamence
Espeon (Best Buy Exclusive),086/197,Espeon (Best Buy Exclusive)
Zygarde GX - SM122,SM122,Zygarde GX
Pikachu (English),PW 1,Pikachu (English)
Basic Psychic Energy (Cracked Ice Holo),013,Basic Psychic Energy (Cracked Ice Holo)
Oshawott,105/086,Oshawott
Ash's Pikachu-GX (Ash vs Team Rocket Deck Kit),005/026,Ash's Pikachu-GX (Ash vs Team Rocket Deck Kit)
Umbreon (13),13/75,Umbreon
Lillie's Determination,184/132,Lillie's Determination
Thorton (Secret),210/196,Thorton (Secret)
Houndoom,34/97,Houndoom
Zorua,89/113,Zorua
Grimmsnarl VMAX,SV117/SV122,Grimmsnarl VMAX
Mudkip - 018 (EX Deck Tin),018,Mudkip (EX Deck Tin)
Gengar - SWSH241 (Prerelease),SWSH241,Gengar (Prerelease)
Garbodor,57/122,Garbodor
Meowth,147/214,Meowth
Mega Manectric ex,050/132,Mega Manectric ex
Charizard ex,105/112,Charizard ex
Quagsire,030/147,Quagsire
Greninja,14/39,Greninja
Psyduck,226/217,Psyduck
Servine,001/012,Servine
Zacian - SWSH033,SWSH033,Zacian
Farigiraf ex,108/162,Farigiraf ex
Zoroark,143/086,Zoroark
Dark Magneton (11),11/82,Dark Magneton
Skiddo - XY11,XY11,Skiddo
Fire Energy,89/95,Fire Energy
V Guard Energy (Secret),215/195,V Guard Energy (Secret)
Muk (H17),H17/H32,Muk (H17)
